,admissions,discharges,occupancy,day,holiday,temp,feels_like,temp_min,temp_max
2017-02-03,11.0,23.0,62.0,4,0.0,-5.059166666666667,-12.1925,-5.833333333333333,-4.079166666666666
2017-02-04,21.0,8.0,75.0,5,0.0,-5.509583333333335,-12.812916666666668,-6.8125,-3.9791666666666674
2017-02-05,12.0,8.0,79.0,6,0.0,-2.034285714285715,-8.827857142857143,-3.6071428571428563,-0.4214285714285714
2017-02-06,16.0,9.0,86.0,0,0.0,-5.881111111111111,-11.453703703703706,-6.707407407407407,-4.777777777777778
2017-02-07,15.0,14.0,87.0,1,0.0,-4.4896153846153855,-11.241538461538461,-6.0346153846153845,-2.542307692307692
2017-02-08,13.0,12.0,88.0,2,0.0,2.245925925925925,-4.753703703703703,0.40370370370370373,4.32962962962963
2017-02-09,13.0,24.0,77.0,3,0.0,-9.205416666666665,-16.017916666666668,-10.091666666666667,-8.279166666666667
2017-02-10,15.0,24.0,68.0,4,0.0,-10.26291666666667,-16.265416666666663,-11.362499999999999,-8.9
2017-02-11,10.0,5.0,73.0,5,0.0,-4.79,-10.817241379310344,-7.031034482758621,-2.0896551724137935
2017-02-12,10.0,3.0,80.0,6,0.0,-5.791714285714284,-11.738,-8.308571428571428,-2.7171428571428575
2017-02-13,8.0,16.0,72.0,0,0.0,-4.999655172413793,-11.083793103448276,-6.689655172413793,-3.141379310344827
2017-02-14,15.0,16.0,71.0,1,0.0,-4.315416666666667,-9.89166666666667,-6.0125,-1.6916666666666673
2017-02-15,12.0,15.0,68.0,2,0.0,1.3988461538461539,-3.1103846153846155,0.8038461538461539,2.130769230769231
2017-02-16,25.0,13.0,80.0,3,0.0,-4.934285714285715,-11.393571428571429,-5.846428571428573,-4.121428571428572
2017-02-17,15.0,18.0,77.0,4,1.0,-7.187499999999999,-12.830833333333333,-9.025,-4.908333333333334
2017-02-18,11.0,11.0,77.0,5,1.0,0.9258333333333336,-4.758333333333334,-2.1916666666666664,4.041666666666667
2017-02-19,17.0,12.0,82.0,6,1.0,4.96875,1.850371707708594e-17,3.3333333333333326,6.341666666666666
